New row: [' اللهم أني أسألك مسألة البائس الفقير وأدعوك\xa0دعاءالمفتقر الذليل لا تجعلني بدعائك ربي شقيا و ڪن بي رؤفاً رحيما يا خير المسؤولين يا أڪـرم المعطين يارب العالمين..<LF>اللهم إغفر للمسلمين والمسلمات والمؤمنين والمؤمنات الأحياء منهم والأموات.', 'NOT_OFF', 'NOT_HS']
New row: ['@USER @USER @USER فيه محامي بدو. وفيه قاضي بدو. <LF>كان تبغى أرقامهم ابشر. <LF>بس لازم تحفض وتردد يا قاضي يا قاضينا الي بالحق ترضينا. ولازم تقدم الرزقه', 'NOT_OFF', 'NOT_HS']

New row: ['روحي معاك رهيّنة يا عيني يا داي<LF>وقلبـي وعقلــي والغــلا يــا زينـه <LF>طــالن أيــام رجــاك مــا جــيتينــا <LF>خــايف تكــونـي غيــرنــا غــاليــتي<LF>#الصافي', 'NOT_OFF', 'NOT_HS']

New row: ['@USER الحين يجيك تعوسي بالمنشن:<LF>-<LF>الحق علينا اننا استضفناك ببلدنا يا اجنبي يا معفن يا ناكر الجميل يا طرش<LF>-<LF>باي ذا وي انا طرشة لحد يسب', 'OFF', 'HS']

New row: ['يا ظروف الوقت يا الوقت الغريب <LF>ضاقت الدنيا و فالدنيا سعه <LF>خاب ظني يوم ظني ما يخيب <LF>خاب ظني يوم الليالي موجعه):', 'NOT_OFF', 'NOT_HS']

New row: ['@USER كسمك يا إبن المره المتناكه يا فاجر علي أمك', 'OFF', 'NOT_HS']

New row: ['رجولك عسل يا قلبي .. يا ليت اصير دلاغك — يع URL', 'NOT_OFF', 'NOT_HS']

New row: ['يا اتحاد تكفى يا اتحاد تكفى يارب يارب', 'NOT_OFF', 'NOT_HS']

New row: ['@USER @USER @USER @USER سبحان الله أريد وهابي قذر مستحمر مؤدب لم اجد لحد الآن يا وهابي يا فهيم انا قصداتباع بن عبد الوهاب انتم لا علاقة لكم بأهل السنة انتم كفرتم الأشاعرة والصوفية وغيرهم من الفرق الإسلامية انتم إتباع اليهود ب', 'OFF', 'HS']

New row: ['RT @USER: خسرناك بجد يا غالي يا أعظم قائد.. حسبي الله ونعم الوكيل فيك يا حسام يابدري #الاهلي_للرجال_يا_موظفين URL…', 'OFF', 'NOT_HS']

New row: ['يا فاطر رمضان يا خاسر دينك الكلب الصعران هيقطع مسارينك URL', 'NOT_OFF', 'NOT_HS']

New row: ['@USER @USER يا وجه استح يا طحلبية توكم ماكلينها من الطواقي', 'OFF', 'NOT_HS']

New row: ['يا جدعان يا ريت يعني اللي عنده مشكلة مع جروس يركنها علي جنب كدة وحاولوا تكبتوا روح المحلل الكروي جواكم شوية لو تكرمتم', 'NOT_OFF', 'NOT_HS']

New row: ['RT @USER: لا اله الا الله يا قوكم قواه يا جمهور الذهب قبل المباراة بـ ٤ ايام والهاشتاق ترند والاول 🔥:<LF> #الاتحاد_الاتفاق', 'NOT_OFF', 'NOT_HS']

New row: ['يا تشد الأيد للأبد يا لا تلمسها', 'NOT_OFF', 'NOT_HS']

New row: ['RT @USER: @USER الف مبروك يا هارون يا حبيب قلبي ربنا يسعدك يا رب ويتمملك علي خير 😍😍', 'NOT_OFF', 'NOT_HS']

New row: ['@USER يا الله ما احلى هالحكي طالع 😻🔥<LF>يا كريم يا رب الله يرزقنا ❤️❤️❤️😻', 'NOT_OFF', 'NOT_HS']

New row: ['@USER تسلمي يا امنيه يا رب ويسعدك العمر كله يا رب 😍🌹🌹🌹', 'NOT_OFF', 'NOT_HS']

New row: ['@USER يا نوره يا كل اشياءييي الحلوه💞💞💞.', 'NOT_OFF', 'NOT_HS']

New row: ['@USER التوقيت مستحيل ينفع انت عندك ماتش يا يخليك اول الدوري يا يخليك التالت بعد يومين<LF>انت جربت قبل كدة ساعة جاريدو في التتش وقولتلهم يا افريقيا يا الرحيل وهزقتهم قبل ماتش المغرب التطواني وخرجوا وخسروا دوري وكاس وموسم كان كارثة .. التوقيت يفرق ل', 'NOT_OFF']

New row: ['RT @USER: @USER همسه موجود في عيد ميلادي 💃💃💃💃💃<LF>ومحدش قدي بقي 😂😅<LF>وانتي طيبه يا همس يا رب بجد ميحرمنيش من ذوءك يا رب ابدا 😍', 'NOT_OFF', 'NOT_HS']

New row: ['يا قطعه من قلبي يا اغلي شي بالدنيا .', 'NOT_OFF', 'NOT_HS']

New row: ['RT @USER: وليس كمثله شيء وإنّي <LF>على باب الرّجاء طرحت قلبي <LF>إلهي يا جميلًا يا لطيفًا <LF>إلهي .. ليس لي إلّاك ربّي <LF>أتقبلني وتسمع أمن…', 'NOT_OFF', 'NOT_HS']

New row: ['R']

New row: ['@USER @USER اسمع يا صغير الرياض يا إمعة يا حقير فاكر يوم ندعسكم دعس بالخمسة والسته والاربع والا ناسى يا طلي هذا العميد نادي الاتحاد انصحك نصيحه لاتقرب من جمهور الاتحاد تراهم ياكلونك اكل فاهم يا رمه والا لا', 'OFF', 'HS']

New row: ['@USER يا حظظك يا كلب عاد تخيل انه انا😂😂', 'OFF', 'NOT_HS']

New row: ['@USER هو مين اللي شايل التاني 😂😂<LF>فكرني ببنت اخويا لما مره شافتني بذاكر طبيه وكانت عايزه تاخد مني القلم كأنها بتقولي تعالي اما اذاكرلك يا موكوس يا خايب الرجا 😂', 'OFF', 'NOT_HS']

New row: ['@USER @USER يالا يا بتاااع عزززززبه يا طلخاا يا قصقووصه', 'OFF', 'HS']

New row: ['@USER يا رب تممها يا رب للاتحاد', 'NOT_OFF', 'NOT_HS']

New row: ['من يشبهك يا ملاك <LF>من يشبهك يا ودادي<LF> إنت بشر غير عادي <LF>فيك الجمال العجيب <LF>رهيب والله رهيب 💙🎼', 'NOT_OFF', 'NOT_HS']

New row: ['@USER يا حبي لج يا حياة الفهد 🤣🤣🤣🤣🤣🤣🤣🤣😘😘😘😘😘😘😘😘😘🤭🤭', 'NOT_OFF', 'NOT_HS']

New row: ['يا كريه يا لعين يا مُستفز يا سافل .. والله ماتشم الدوري URL', 'OFF', 'NOT_HS']

New row: ['Listen to لوئ_ ارجع يا زمان حن يا ماضي by ♪♪RoOoMa♪♪ #np on #SoundCloud<LF>URL<LF>ارجع يازمان حن ياماضي <LF>أيام الحب ماكان كاان عادي<LF>ولا كان الشوق للناس تهمه<LF>ولا نظرة عين وحنين ازمه<LF>ولا عقل الناس خالي وفاضي<LF>حن ياماااضي', 'NOT_OFF', 'NOT_HS']

New row: ['ي']

New row: ['RT @USER: نظامي بسناب يا اصور ورا بعض يا اختفي سنتين نظام يوميات ماعندي.', 'NOT_OFF', 'NOT_HS']

New row: [' يا مالي عمري رضا يا شبيه الورد , يا معنى الحياة♥️🖇', 'NOT_OFF', 'NOT_HS']

New row: ['يا ناااااس يا عااالم والله ماني مصدق فريق الخدم يفووووز الله ايش صااار بالزمن بس اتوقع ان فريق الخدم مسوي شي علشااان يفوزوووون والله قهرررررر 😭😭😭😭😭😭', 'OFF', 'HS']

New row: ['@USER 🖤💛🖤💛🖤💛🖤💛🖤💛🖤💛🖤💛🖤💛🖤💛🖤💛🖤💛🖤💛🖤💛🖤💛🖤💛🖤💛🖤💛🖤💛🖤💛🖤💛🖤💛🖤💛🖤💛🖤💛😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘 الف الف مليون مبروك يا شامخ يا عم حاتم يا اصلي يا كايد العذال', 'NOT_OFF', 'NOT_HS']

New row: ['@USER صباحك فل يا كادي يا عنبر يا مسك😚', 'NOT_OFF', 'NOT_HS']

New row: ['مهو يا الصداع يموت يا انا اموت عشان كدا حرام فعلا :)))', 'NOT_OFF', 'NOT_HS']

New row: ['مساء الخير يا فولورز يا قمر.. النهاردة هعلمكم ازاي تخفوا قط شيرازي.. بس القط دة لازم يكون شيرازي.. سيب البتاعة يا معيرص', 'OFF', 'NOT_HS']

New row: ['@USER يا شروق يا بنتي النصيحة مش كل حاجة اهم حاجة انك حسيتي التويتة 😂😂', 'NOT_OFF', 'NOT_HS']

New row: ['2019 April 13<LF>في ليلةٍ من الليالِ ⛈🌧✨🌬<LF> لستُ أدري ما جرى لي<LF>ظلمةٌ تغمرني يارب<LF>الأرض ضاقت والسماء<LF>وقلبي ماعرف الضياء<LF>والدمع بات يبكي ياإلهي💜🙏🏻☕🌬<LF>يا إلهي يا إلهي يا إلهي يا إلهي يا إلهي.<LF>#تصويري #ذكرياتي يوما ما هنا❤<LF>🌬🌧👸🏻 #scarlet_kholoud URL', 'NOT_OFF', 'NOT_HS']

New row: ['R']

New row: ['@USER كل سنة وانت طيب يا كابتن حازم يا ثعلب كرة القدم وعقبال مليون سنة', 'NOT_OFF', 'NOT_HS']

New row: ['@USER @USER يا تميم يا قزمه ياللي مالكش لزمه', 'OFF', 'NOT_HS']

New row: ['@USER @USER اللاعب دا بطل و عالمي للنخاع و تفداه ستين مباراه مو وحده ابشر بعزك يا سلطان ما صار شي و انت قدها و يا ما فرحتنا يا رجل استمر و توكل على الله يا صديقي', 'NOT_OFF', 'NOT_HS']

New row: ['@USER يا مشحرة يا لمى فكرتها صينية 😂😂😂😂😂', 'NOT_OFF', 'NOT_HS']

New row: ['ه']

New row: ['@USER صلاتآ و سلامآ دائمين متلازمين إلى يوم الدين عليك يا سيدي يا حبيبي يا شفيعى يا رسول الله', 'NOT_OFF', 'NOT_HS']

New row: ['يا استاذ يا طيب انت خليت شعبان مع مدحت بس لو اختصرت عشان اعطيك انا اللي تبغاه ابشر', 'NOT_OFF', 'NOT_HS']

New row: ['@USER يا رب يا أثير يا رب والله محتاجه افرح فرحه قويه والنصر اللي قادر يسوي هالشيء بعد الله😞💛', 'NOT_OFF', 'NOT_HS']

New row: ['حماك الله يا بلادي ... حماك الله يا بلادي <LF>حماك الله يا بلادي ... حماك الله يا بلادي<LF>حماك الله يا بلادي ... حماك الله يا بلادي<LF>حماك الله يا بلادي ... حماك الله يا بلادي<LF>حماك الله يا بلادي ... حماك الله يا بلادي<LF>حماك الله يا بلادي ... حماك الله يا بلادي', 'NOT_OFF', 'NOT_HS']

New row: ['يا صدفة أيامي يا نعمّة الرحمن<LF>يا لذّة الدنيا .. وأجمل أشيائي <LF>أنتَ أجمل أشيائي التي اخبئها بداخلي🖤', 'NOT_OFF', 'NOT_HS']

New row: ['ياخي تسلم ايد منهي ربتك يا مسامح يا مصالح يا نقي🎶❤️.', 'NOT_OFF', 'NOT_HS']

New row: ['RT @USER: يا تموت الكتمه يا اموت انا وخلصنا.', 'NOT_OFF', 'NOT_HS']

New row: ['تمثيل يا رزان تمثيل يا رزان تمثيل يا رزان تمثيل يا رزان تمثيل يا رزان تمثيل يا رزان', 'NOT_OFF', 'NOT_HS']

New row: ['<LF>جده الحُب ،،<LF>جده يا مُنتهى كل الكلام يا سيّدة كل المدن ❤️ URL', 'NOT_OFF', 'NOT_HS']

New row: ['يا شمس غيبي يا مراكب حلى الموج بيجري وانا لسه محلي', 'NOT_OFF', 'NOT_HS']

New row: ['كفو ومليووووووون كفوووووو يا عاشق يا عالمي يا كبير 💛💙 URL', 'NOT_OFF', 'NOT_HS']

New row: ['@USER @USER @USER رضي الله عن الصحابة اجمعين القاتل والمقتول<LF>انتم اشغلوا انفسكم بانفسكم ودعوا قوم ماتوا من قرون لا يحاسبكم الله عنهم او عن افعالهم<LF>(يعني بالعربي يا ملقوف يا حشري انت واياه ..مالكم شغل في الصحابة وخلوكم في انفسك)', 'OFF', 'NOT_HS']

New row: ['@USER لأااا ماينفعش خلاص...سامحناكي كثير وانتي مصممه علي الاهانه ..لازم تتعاقبي...الاعتذار مش كفايه.....دي مصر يا رمم يا جربوعه.. مصر اللي عملتك نجمه ...تهينيها ياعره', 'OFF', 'NOT_HS']

New row: ['دا اللي بهري فيه .. يا عسكر يا اخوان .. ما ينفعش اكون شعب وليا رأي معارض لوحدي من غير ما اكون منتمي لاي فصيل .. 🤔 URL', 'NOT_OFF', 'NOT_HS']

New row: ['@USER قلعتك يا ثور يا واطي خرا بشكلك يارب تموت .... طبعا كل هالكلمات تنقال بصوت واطي وبعدها تصرخ تقول اسم الله عليك حياتي 😎', 'OFF', 'NOT_HS']

New row: ['@USER @USER @USER يا طعميه يا حمار هذا عماني وثاني شي <LF> ما يحتاج محمد صلاح مطبل مثل عقليتك التعبانه 😂😂😂<LF> الملك محمد صلاح افضل لاعب عربي وأفضل لاعب بعد الدون وميسي ✋', 'OFF', 'HS']

New row: ['اللهم ارزقنا سلامه الصدر ونقائه وفطرته وارفع عنه الهموم والغموم والكرب والضيق والحزن واجعله كأفئده الطير وأحفظه من الكسر ومن الألم وراضينى وارضى عنى واجبر خاطر هذا القلب فأنا عبدك الفقير يا ودود يا لطيف يا كريم', 'NOT_OFF', 'NOT_HS']

New row: ['RT @USER: مقام سيدة خولة بنت الحسين (ع)❤️<LF>السَّلامُ عَلَيْك يا خولة يا ابنة السبط الشهيد ؛ وابنة القتيل الفريد والإمام المجيد.ال…', 'NOT_OFF', 'NOT_HS']

New row: ['RT @USER: @USER @USER يا مينا يا خويا<LF>هي شكلها كده<LF>خلقتها كده<LF>ربنا خلقها كده<LF>(نجيب الريحاني)<LF>مش لازم تكون زعلانه<LF>ومم…', 'NOT_OFF', 'NOT_HS']

New row: ['@USER يا زلمي يا نسوان بالمسلسل 💩 يا الرجال👞👟🥾🥿👠', 'NOT_OFF', 'NOT_HS']

New row: ['@USER يا كاذب يا كذوب قبل جمله ال يكسبك ٣ تعالي اكسبه لك ٥ قيلت بعد ما سيدك مرتضي ظل لشهور يسب ويلعن ويتطاول ويتسافل علي الاهلي ورموزه وبعد برامج الزمالك ما سخرت نفسها لمهاجمة الاهلي', 'OFF', 'NOT_HS']

New row: ['طولج ١٣٥!!!!!!!!!!!!!!! — يا طخوا يا اكسر مخوا شهالمواضيع URL', 'OFF', 'NOT_HS']

New row: ['@USER @USER اعلمك يا عموره يا سلام هديك دروس', 'NOT_OFF', 'NOT_HS']

New row: ['R']

New row: ['انتبه من طيحة ماعاد منها قومه. وانتبه من قومة مجلاسك أبرك منها المواقف تمسك الرجال من حلقومه. يا يداحمها بجنبه يا يجنب عنها', 'NOT_OFF', 'NOT_HS']

New row: ['RT @USER: الأمل فيك يا سون يا حبيب قلبي URL', 'NOT_OFF', 'NOT_HS']

New row: ['@USER @USER @USER يا ممدوح يا رويلي.. هذا المقطع غير عن المقطع الي فيه الحركه البذيئه الموجه للجمهور المنافس.. وعلى العموم انسى.. لأن الموضوع عدا وانتهى ومع الايام بينتسي وكأنه ماصار شي.', 'NOT_OFF', 'NOT_HS']

New row: ['يا حبيب الأمس و يا ندم اليوم', 'NOT_OFF', 'NOT_HS']

New row: ['يا رب يا أخدها أنا يا تاخدها أنت ..', 'NOT_OFF', 'NOT_HS']

New row: ['@USER بس يا بيضة يا هايجة يا بتاعة الخلايجة<LF>يا سافلة يا سهلة يا رخيصة URL', 'OFF', 'HS']

New row: ['السلام عليكم<LF>يا مدراء المياه يا قوم يا عمال يا سماكرة<LF>مله افعلو حل <LF>لنا شهر بلا مي <LF>طيب على الاقل امنعو بعض مدراءكم يشخطو تراخيص لاصحاب العشوائي بمد بيبات هلى حسابنا <LF>ماجد عزان<LF>عدلي بن زيد<LF>م.مازن السقاف<LF>Zain... URL', 'NOT_OFF', 'NOT_HS']

New row: ['عينك تندب فيها رصاصة يا بجح يا معدوم السياسة أصلا URL', 'OFF', 'NOT_HS']

New row: ['@USER @USER جعبات زي الكيزان ما عندو والله الليلة نشوف نهايته شنووو إلى يوم الدين يا السودان يا ابن عوف و الحشاش يملا شبكته #اعتصام_القيادة_العامة', 'OFF', 'NOT_HS']

New row: ['يا درجاتي يا تويتر الاثنين مع بعض مايصير', 'NOT_OFF', 'NOT_HS']

New row: ['يا ربيع القلب .. يا محيي جفافه !', 'NOT_OFF', 'NOT_HS']

New row: ['عمر يا سعيد<LF> عمر يا سعيد<LF>عمر يا سعيد<LF> عمر يا سعيد<LF>عمر يا سعيد<LF> عمر يا سعيد<LF>🔥🔥🔥', 'NOT_OFF', 'NOT_HS']

New row: ['@USER يا اسفاه يا انوركنا نحبك لكن من باع نفسه بالمال ليس مننا ولا يشرفنا', 'NOT_OFF', 'NOT_HS']

New row: ['R']

New row: ['يا مطلع الصبح يا اول حبال النور', 'NOT_OFF', 'NOT_HS']

New row: ['#الاتحاد_النصر<LF>يازعماء يا هلاليين يا متصدرين <LF>ترى الهاشتاق للاتحاد والنصر <LF>خلو العميد يفرح ياحبكم للشماته 🤣😂🤣😂', 'NOT_OFF', 'NOT_HS']

New row: ['R']

New row: ['@USER @USER تحرض في النتصى عليا وتقوله انفولو وانت متابعني ؟؟<LF>باهي يا مريوم يا عسل انتي تفضلي ديري انفولو انتي وريحي راسك URL', 'NOT_OFF', 'NOT_HS']

New row: ['الحرام مايدوم يا مسؤول يا هيئة الرياضة يا اتحاد سعودي الله يعجل بعذابكم كأنكم ناوين شر', 'OFF', 'NOT_HS']

New row: ['RT @USER: أمشي يا فرده وتعال يا فرده وسقطت يا أبو قِرده 😂 URL', 'OFF', 'NOT_HS']

New row: ['يا رب توفيقك يا ارحم الراحمين ...❤️', 'NOT_OFF', 'NOT_HS']

New row: ['@USER قلنا لك يا استاذ سعد اسعدنا الله يسعدك دنيا واخره امك سمتك سعد عشان تءعد الناس المساكين ربي يسعدك استاذ سعد اءعد قلب هل الختياره اللي على طول معكم تدعي لكم والله بكل خيرررررر حنا الهاشتاق ما نعرف له الله يسعدك خلينا على متفاعلين معك يا بن', 'NOT_OFF', 'NO']

New row: ['@USER وانتي طيبه يا مروه يا رب 🌹🌹🌹🌹🌹 <LF>يالا هما بنات اليومين دول مفتريين كدا ودايما نيتهم مش تمام 😭', 'NOT_OFF', 'NOT_HS']

New row: ['يا من أظهر الجميل.. وستر القبيح.. يا من لا يؤاخذ بالجريرة.. يا من لا يهتك الستر.. يا عظيم العفو.. يا حسن التجاوز.. يا واسع المغفرة.. يا باسط اليدين بالرحمة.. يا باسط اليدين بالعطايا.. يا... URL', 'NOT_OFF', 'NOT_HS']

New row: ['و']

New row: ['حبيبي ياحب عمري ياعمر حبي <LF>حبيبي يا كل امري يا نبض قلبي', 'NOT_OFF', 'NOT_HS']

New row: ['يا شوكلاطه يا كيكه يا حبي', 'NOT_OFF', 'NOT_HS']

New row: ['@USER @USER والله يا خونة يا بني صهيون يا قوادة اليهود ستزلزل الارض من تحت اقدامكم وتندحروا صاغرين منبطحين صبرا قليلا فقط وهذا عميلكم التيس المهزوم في تشاد بدأت علامات انهزامه على تخوم طرابلس التي جعلت منكم متحضرين بعد ان كُنتُم مشردون', 'OFF', 'HS']

New row: ['يا كل الناس بعيوني يا كل أشيائي<LF>يا وطن من عرفته ما تغربته', 'NOT_OFF', 'NOT_HS']

New row: ['@USER ذاكرو يا بناتي يا طبيبات المستقبل @USER', 'NOT_OFF', 'NOT_HS']

New row: ['ما ندري وش نقول عنك يا كابيتانو يا كبير ما فيه مدافع يتفوق عليه بالعالم إلا فان دايك', 'NOT_OFF', 'NOT_HS']

New row: ['يا HBO يا شرموطة تنزلي الحلقة الأولى من GOT وانا معرفش يا لبوة .. أخص عليكي شركة إنتاج وثخة 😁😂', 'OFF', 'NOT_HS']

New row: ['دم الشهيد ما راح..ثورة!<LF>دم الشهيد حضران... ثورة! <LF>ورينا كتلو منو... ثورة! <LF>والكتّل السودان... ثورة! <LF>داير القصاص لي اخوي...ثورة! <LF>داير الوطن ميزان... ثورة! <LF>وقروشنا فاتت وين... ثورة! <LF>ورينا يا برهان... ثورة! <LF>ورينا يا برهان بالبرهان... ورينا يا برهان! بالبرهان<LF>#الشارع_بس', 'NOT_OFF', 'NOT_HS']

New row: ['@USER قال الزوراء ارحب يا زوران ارحل يا زوران ارحل يا زوران ارحل يا زوران ارحل يا زهراء حرية الرأي سأرحل رايس انتوني روحي لك انت المدرسة يا زهراء يا زهراء يا روحي انت الرئيس', 'NOT_OFF', 'NOT_HS']

New row: ['يا حبش الطاغي يا خصرش المردوف<LF>جمعتي ما بين ..... الحسن و التباهيِ ..', 'NOT_OFF', 'NOT_HS']

New row: ['@USER مانا شفتها يا كلبوب يا صغير انت 😂', 'OFF', 'NOT_HS']

New row: ['@USER سنحك سنح يا شين يا عرة الرجال اخس', 'OFF', 'NOT_HS']

New row: ['RT @USER: يا عنفُوان الخيل يا وقفات ماضين الفعول<LF>يا نشوة الكسبان يا عزَّة عزيزين الجناب ..', 'NOT_OFF', 'NOT_HS']

New row: ['RT @USER: وينك يا نواف بن سعد<LF>وينك يا سامي الجابر<LF>وينك يا عبد الرحمن بن مساعد<LF>الهلال ينحر من الوريد الي الوريد<LF>من عبث محمدبن فيص…', 'NOT_OFF', 'NOT_HS']

New row: ['يا بتَاع الورد يا بتَاع الفُل أنا صَاحية نفسِي أهادي الكُل<LF>ما أنا قلّبي دق والحُب حقْ مُش هعِيش لوحدي خلاّص<LF>لا لاء', 'NOT_OFF', 'NOT_HS']

New row: ['يا حياتي و يا غلاي و يا غرامي الله جابك نور ولعيني سنا 🖤', 'NOT_OFF', 'NOT_HS']
