Text,Label
انت صنفتو بخانة الخيانة وهيدا رد على ردك ومش كل الادوية فعالة وان شاء الله الكل بيفتخر بشهادة الحريري,Non_HS
هذا ردي له نعم انا سعودي    وكلي فخر راسي فوق أنتم ما قهركم وداعس على روس… ,Non_HS
هي و صرمايتي سوى ,Non_HS
دئما يلحق بك الدمااار ,Non_HS
لا صديقي مو عيب واحد قاتل وواحد اداة بيد قاتل ,Non_HS
"يلعن روح حافظ ابن ستين الف كلب، دمرت البلد وقتلت مليون وهجرت ملايين وتقول قد ، قد لا يكفي اعدامك لمرة واحدة",Non_HS
كول هوا مش شغلك,Non_HS
اشبو ذا يسجل كول حاجه تراها مباراه مو محاضره هوا,Non_HS
ستموت بحسرة الخواجه ولن يعطيك شرف التحدث معه وابتزازه ايها الازعر السفيه ضبضب ,Non_HS
زحيف ,Non_HS
جبران باسيل لا يقل عمالة عن حسن نصرالله,Non_HS
شيلللللل للفهم    بس ما قلتلنا انت عمين محسوب عل عاهرات او السياسيين ,Non_HS
جبران باسيل مهضوم كتير قال بدو يعمر سوريا و هوي ببلدو لبنان مش قادر يعمر مجرور,Non_HS
ههههههههههه كول هوا,Non_HS
وفد     يا زلمة شو هال مسخرة انت؟ ,Non_HS
ويل لامة تولي عليها مجموعة من الأرذال ,Non_HS
مستحيل يكون في اوسخ وانجس منك بالكون يا ديوث ,Non_HS
كذبك يا أيوب كذاب ونص جبران باسيل انظف من ضميرك,Non_HS
شكرا لكل الأبواق المأجورة وغير المأجورة في افتراءاتها اليومية على جبران باسيل أمنتم له شعبية ما كان ليحلم بها الى…,Non_HS
انت حثالة,Non_HS
لاتعرف اسئل حزب الله وخروفه باسيل ,Non_HS
اكيد خلف ومات بس شهيد يا فهمان,Non_HS
كان بدري عّم يقبض حق تغريدته مبارح ضد قطر   ,Non_HS
انا اكتشفت ان اللواء عثمان داعس رقبتك وراسك بصباطو الرسمي يا حمااااااار ,Non_HS
شي بيهوي,Non_HS
هههه موتي بغيظِك لكن 😎,Non_HS
ارفعوا العشره مشكلتكم ما الو خص علاء الخواجة يا صاحب الصرامي ,Non_HS
انت بدك طبيب نفسي ,Non_HS
والله الحذاء خساره فيهم ,Non_HS
كول خرا عقبالك لما تجيك صرمايي بخلقتك ,Non_HS
انت متهم اول لانك اكبر سرمايه عربيه ,Non_HS
كول هوا ما حدا غير امك مركبه راس حمار,Non_HS
كول هوا خسرتو بأرضك وبين جمهورك بعد ما منعت القطريين من تشجيع جمهورهم انتو فاشلين في كل شئ وهم متفوقين عليكم في…,Non_HS
اصمت أيها الذبابة المريضة العقاب لوهاب وهاب قاتل ابو دياب ,Non_HS
كول هوا انت ودانيال,Non_HS
شو بدك بأسمي أحترمي حالك وأحترمي ديننا الشريف وتوقفي عن الكذب وقلب الحقائق والتغطيه على من ن… ,Non_HS
نص البلد من رأيي يا سخيفة,Non_HS
والله انت من يحتاج الي طبيب نفسي وعساك ما تطيب ,Non_HS
وانت شو تعتبر حالك وانت موالي لهذا الحرباء جن بلاط ههههه ,Non_HS
تشتهي تشوف صرماية مقطّعة من شحاحيط السلطان يرد على كلامك؛الشحاحيط حافظين الكلمتين الخرا تبع عرب الشمال و اللاجئين المشردين و بس تتكلم أي كلمة ما تعجبهم لازم يطقعوها من زلاعيمهم مثل الجواميس تفه على شرفك اذا عندك جنس الشرف,Non_HS
ومبعوصة من انه الديمقراطية مترجمة من الـ وبدها الملسمين يقولوا شورى طيب يا قلبي الشورى عند داعش والسعودية احنا بدنا ديمقراطية يا كندرة,Non_HS
هيييششش هيييشششش ,Non_HS
وهذا ردا على شِعرك وشَعرك يا اصلع وزارع الشعر المستعار  ,Non_HS
الله يلعنك ويلعن الي ما بيلعنك ,Non_HS
فيلم فاشل يا تعول الأفلام والكاميرات المعطلة,Non_HS
لابارك الله بك وبامثالك ياهذا ,Non_HS
قهرني الله يقهره   ,Non_HS
كول هوا ماخدا ارهابي غيركن,Non_HS
عندما يقال يا شحاذ يظهر لك باسيل جبران,Non_HS
الله يلعن لي بشرت فيك وقت خلقت,Non_HS
مع انك قذر وواطي بس اوافقك الرأي ,Non_HS
الخلع والكسر يستخدمه ابو منشار الأخرق في كل مكان يا جربوع,Non_HS
جوز كذابين منافقين…,Non_HS
ابنك ذكي يا ثريا بس حمار العقاب لوهاب وهاب قاتل ابو دياب ,Non_HS
ضرط الزمان على الاندال فعلاهم ,Non_HS
لا انت ولا معلمك فيك تدق بصرمايته يا صرماية عتيقة ,Non_HS
يخرب بيتك ذو ذكي من أي حظيرة حيوانات فلت هذا البغل؟؟؟,Non_HS
لازم يلغي هالنظام المعفن الكائفي الذي لا يستولد سوى طائفيين فاسدين عفنين ,Non_HS
والبلطجي جبران باسيل المال لمعه حلال ولله حراميا شيخة,Non_HS
انت حقآ وقح عاهرة تحاضر بالعفة ,Non_HS
نتمنى انك تخرس خالص  ,Non_HS
صدق الوئام لأن الكتلة السياسية التي تقود اليوم قاطرة العهر السياسي لم تتوانى في هتك المسلّمات وتجاوز ك… ,Non_HS
ما ابيخك ولوووووووه ,Non_HS
إزا مانك قد الخبز والملح روح كول هوا مع أمثالك ياغالي,Non_HS
جبران باسيل ل كارولين صرنا معودين على الخوزئة قبل امير قطر فيه كارلوس سليم اغنى رجل بالعالم مسحنا صب…,Non_HS
صدام بالكندرة خلاه يأسلم 😂,Non_HS
الله ينصر المسلمين والعرب من داعم الارهاب المجرم تميم ,Non_HS
هيدا انسان تافه وكاذب كل هدف المقال القواص على جبران باسيل,Non_HS
"خليك عم تجرب تفتن، هيدة شغلتك ",Non_HS
كول هوا يامهجن ياخلية نحل قذرة منتشرين من حر ماتونسون,Non_HS
وزير الخارجية اللبناني جبران باسيل يبعتلو حمى يقول عمدة قرية شرق سلوى كسر الحصار على قريته بحضور القمة,Non_HS
كول هوا  مك على ام فالفيردي,Non_HS
التنين نفس الخريه      ,Non_HS
روح انقبر ضب حالك ,Non_HS
هههههه أعصابك يا هبيلة,Non_HS
يا استاذ وئام اتحدث معك من السويداء ونحن نقف معك ونشد من ازرك ولكن يبدو ان الشيطان الاكبر يقبع بالمختارة ,Non_HS
اسأل سيدك حسن نصر الله كم قبض من قطر لبناء الجنوب لن تكون اكثر من عبد ,Non_HS
وانت اول عاهرة عاهرة بشار الأسد ,Non_HS
سبحان الله وين ما بروح بياخد الخراب معو شو هالبومة هيدا ولك شو هالغراب انشالله يهرب عالسفارة و يبعتوا عاسرائيل يستلم وزار…,Non_HS
صح طلعت ريحتكم يا اسخف…,Non_HS
يا زلمي لي ما عم تفهموليد بيك زعيم الجبل الاول والاوحد حطا بدينتك ,Non_HS
"الملفت بهيك حمار معبا ببنطلون مو انه منظومته الاخلاقية عديمة الأخلاق تماما، وإنما اعتقاده انها متفوقة على غيره",Non_HS
كلنا اللواء عثمان  اما المجرم مهما طال الزمن مكانه السجن والمحاسبه ,Non_HS
"كفّوا ألسنتكم عن روح القائد الخالد،يلعن روحك يا جولاني كوليرا",Non_HS
جريدة اخبار وصرمايتنا سوا معانيك هيدا كلام من مدرستك مدرسة صرامي هيك تعلمتها منك هيدي الجملة ,Non_HS
لنك رخيص ,Non_HS
للخروف عون ,Non_HS
أقترح عليك ان تسدو لبوزك ,Non_HS
مصيرك يا وئام الى مزبلة التاريخ والايام بيننا ,Non_HS
يا زلمي بشرفك اقرأ التعليقات الناس قرفتك على فرد نغمة غيِّر ,Non_HS
انو هالزلمة الأستاذ جن بلاط مش عارف حالو شو بدو طيب حدا يعلمو ع شي شغلة يلتهي فيها ويفلقنا بريحة طيبة يا قرد ,Non_HS
الوطن يحتاج لرجال تقف معه لا عرصات تقف ضده الوطن غلي الوطن عزيز كما قال المقبور سيدك اية الله حافظ اسدي… ,Non_HS
ما نايكن الا جبران باسيل عن جديد منا وجر,Non_HS
هوا بوجهك يا هوا قليل ادب ع هيك الفاظ كول هوا ونقلع من هون بس فاضي الك ولاشكال ابعتلك ع الصراحة وعفكرة عرفتك وتفكرش…,Non_HS
يا رب تموت,Non_HS
القناة السابعة العبرية تقول نصرالله بحوار لقائي انتصر على اسرائيل انقبر كول هوا وتعلم تبتلع سمك متل م…,Non_HS
خليك مع كلبك واترك البلد ما ناقصو فتن,Non_HS
مشكله يوم يتكلم العرص عن الرجوله ,Non_HS
لأنك طول عمرك غبية ههههه,Non_HS
طيب ياخي تلحس انت ويلي لاحقك علم لا ينفع متل الخرى بس شغل صف كلام بلا اي طعمة,Non_HS
كول خراااااا ,Non_HS
نشالله بيفركك عزرائيل وانت والصوص تبعك ,Non_HS
لمين الاهلا وسهلا لبشار الأسد يا عيب الشوم عليك انت عميل صغير وراح بتضل عميل وصغير ,Non_HS
مفتي القتل صهيوني بامتياز امثال القرضاوي مرض عضال في جسد الأمة ,Non_HS
لا تجحش محسوبك اجحش خخخخخ,Non_HS
اول مرة بعرف انو الصرصور بيضحك ,Non_HS
كول هوا دعسوا على راسك وراس كل خاين امثالكم                                    ,Non_HS
حمار الشغل,Non_HS
التلك اخرس خراس,Non_HS
كوووووووول خرااااااا ولاااااك ,Non_HS
هاد شرموط شوف أكاونته قاعد بكندا,Non_HS
سخيف ,Non_HS
سدّ نيعك انت وعم تحكيني فاهم؟؟؟ ههههه 😎 دراما لبنانية,Non_HS
بيساهل ابن زانية صباحك نور استاذنا ,Non_HS
قطيش هو كلب الحراسة الذي وظيفته أن ينبح حماية لأسياده وأولياء نعمته الذين يكرمونه بالعظمة آخر النهار,Non_HS
كلو اخرا من بعضو بس ما حدا اخرا منك ومن بشار فكر فيها ,Non_HS
اي كول هوا شو دحشك لو امراتي حكا هيك كان طبطبت عليه,Non_HS
ولاك انت بدك مين يضحك عليك انت كركوز بحد ذاتك حقك فرنك إيام الغلا وكشتبنجي عايش عالتشبيح وكل العالم بتعرف من وين مصرياتك… ,Non_HS
ما في غبي الي انت ياحوان كول هوا وسكت,Non_HS
زطم مش بيئه؟ حتى كول هوا اشيك ,Non_HS
صبح ربك او الاوامر جاي بكير لتجعدن ماحده شيطان اكتر منك ,Non_HS
ولك حل عنا حروب من ما طلعت ما خلصت الحكايه على أساس انتوا جبتوا الخير على لبنان بيكفي مزبلة هيدا… ,Non_HS
اخرس يا كلب أيران ,Non_HS
انو عم تتعاطى خرا بكوكائين ولَك مين انتي ومين شايفك من ارضك قال وفد قال ودخلك الوفد بالستيانات باعتو ,Non_HS
اي شرف ليش انتو عندكم شرف ,Non_HS
بحكيكي بالشرق بتجاوبي بالغرب,Non_HS
كذبك يا أيوب كذاب ونص جبران باسيل انظف من ضميرك,Non_HS
اراكوز ,Non_HS
يا بهيم الشاعر عم يحكي عن سوريا الارض مش عن نظام سفاح قاتل ونقطه ع السطر ,Non_HS
اديش عثمان داعس على راسك يا وهاب المنافق على كل حال عثمان هو الكسبان اذا كنت تكره فهو في عقلك وان كنت ت… ,Non_HS
شو هالدولة لي نحنا عايشين فيها معقول ماحدا قادر يخرسك أو يشلحك بالسجن قاتل وسارق وتطلب السجن لغيرك شو هالوقاحه لي عندك ,Non_HS
سؤال اللواء عماد عثمان عاملّك واحد خليفاني بالعرض وموجّعك كتير لحتى كل يوم بتغرّد عنو من الوجع   ,Non_HS
الجزمة مكانه الحقيقي جبينك ,Non_HS
"انا فينيقي عبارة تشبه في بلاهتها لو ان احدهم في المستقبل البعيد قال انا ليڤانتيني ، إنّو يا حمار الكلمة اللي كان يستعملها الاوروبي للدلالة ع منطقة واسعة كيف أخدتها انت كمعرّف اثني، عالقليلة استعمل العبارة اللي كان يستعملها اسلافك",Non_HS
صدقيني مش طبيعي   جلطني ,Non_HS
ههههههه كول هوا وزحط,Non_HS
اسود منك ومن كلامك وقلبك وشكلك ما شفت لا تحكي عن القتل يا صاحب الوجه البشع وبشارك قتل الملايين من الشعب… ,Non_HS
ان المجرم هو ابن أنيسة يا نكره بس شاطر على اهل السنة يا غبي ,Non_HS
حتى فيصل الزفت القاسم,Non_HS
وانت بول شو بتشرب يا بعير,Non_HS
حاجتك تغريد يا سمج والله العالم قرفتك ,Non_HS
"كثروا المنافقين اصحاب المصالح   هاذا اكبر كلب لأيران في لبنان ، تابع هالفديوا وتعرف هالمرتزق ",Non_HS
ممكن تفرشي سنانك قبل كل تويت بليز في ريحة خرى قوية,Non_HS
أقول أكل تبن بس يا لوليا   ,Non_HS
ولك كول هوا يازلمه,Non_HS
لو كل كلب عوى ألقمته حجرًا لأصبح الصخر مثقالاً بدينار ,Non_HS
فعلا انك نذل وحقير ,Non_HS
يلعن روحك يا حافظ,Non_HS
يا أمير الشتامين أملك بالفوز مثل أمل إبليس بالجنه ,Non_HS
هبلة اتتي صح ,Non_HS
تحية من قلب فلسطين الى قطر والى اميرها الشيخ تميم وليخسأ قتلة الاطفال في الشام ,Non_HS
عفواً بس شو هالتحليل الطيازي هاد من وين لوين الفلسطينية أشعلوا الثورة,Non_HS
صرمايه عثمان براسك وبراس يلي خلفوك وانت من يجب ان تكون في السجن يا منافق يا وضيع ولن نسكت عنك قبل ان تك… ,Non_HS
ما حترمك النوم الا اللواء عثمان والبوط العسكري تاعوا رح يحطوا بي تمك خليك عم تعووي قرب وقت البوط يدوس راسك ,Non_HS
انت رئس الفساد ,Non_HS
هذا وتوه ماعطينهم مليون عطاهم الله سقم ولسه بكره بيرجعون يردحون ويسبون عمر  ماينعدل ,Non_HS
طز فيك وفيهم إذا حاببهن كثير ظب كلاكيشك وروح او بقلك خذ الزرد معك وفل ,Non_HS
جبران باسيل وصولي مريض بجنون العظمة نستعد يعمل ايا شي ايا شي للوصول إلى الرئاسة ومن بعدها مستعد يعمل أيا شي ليكبر و…,Non_HS
كول هوا هاد الحكي كذب,Non_HS
خليك ببرميل الزبالة يا وهيدا بلوك هههه 😎,Non_HS
بدك شي شاكوش يضرب راسك ليفتح مخك السيد مش لاكشك باجرو,Non_HS
انت عم تغردي من كباريهات الاهرامات 🤔😂,Non_HS
مستهبل ومن لف لفيفها بصوت واحد الحق على جبران باسيل   ,Non_HS
خود هالتويترجي الغبي و سكر ,Non_HS
رضوان حبيبي كول هوا,Non_HS
"حلوة أنا أكتر واحد بنتقد صهر العهد بس انتي يا أمية يلي مش قارية جريدة بحياتك ممنوع تنتقدي ، ولك تضرب يا هبيلة ولك مين مفكر حالك بمنطقك رح ينرد عليك أنت شقفة مهرج وخريج برنامج مع غرور وهيدي بداية النهاية ريس القصة مش بل الشهادات القصة ب",Non_HS
خلص خراس,Non_HS
قداي بدك نمرة الضبان خبرني حتى شوف اذا في قياسك لانو صباط الاستاذ كبير بغطيك كلك فا بدك وحدي تجي عقياسك ,Non_HS
يا باريس انت حمار ولا بتستحمر,Non_HS
يا اخي نقطنا بسكوتك جسمك اخد على البهدله ما بقى تفرق معك ,Non_HS
"تضرب منك اله، الغريب هو شيخ عادي من المشايخ عنا ونا بيمثل الا بالمية من الطايفة، ما تسأل وين راحوا ا… ",Non_HS
عيب عليك استحي يكفيك كشفت الحيا العمى ضربك شو وسخة ,Non_HS
صار ضروري يطلع قرار يمنع فيه ذكر اسم جبران باسيل من قبل خفاف العقل والذهن المريض لانه يسبب هلوسات…,Non_HS
لسانك حصانك وحسنا فعلت قطر لتلغي مركز الأبحاث لا مرحبا بكم انتم ولا تستاهلون اي عمل لكم ناكرين المعروف ,Non_HS
واحد شرموط متل أحمد جبريل هو واحد من هالقيادات عايش لحد ما صار عمره سنة بدون ما يطلع شي واحد يفلخه ويرميه بمزبلة كلاب وبعدين بدك ردّة فعل ضد يلي بيصير بالمخيم؟,Non_HS
اكيد مش عن طريقك لأن هيئتك اقرب لعزرائيل,Non_HS
تجامع البرغوث وحمار خوزان والكل فيهم علتة باطنية ,Non_HS
جبران باسيل صرمايتو بتسوى راسك,Non_HS
شو ياشلكه ؟؟؟؟ حلوه صورتك انتي ولابسه لانجري  مره ثانيه بس تجيبي سيرة اسيادك تطهري وتشطفي ون… ,Non_HS
"مش شي عيب القرعة يا فهمانة ، بس كبراني الخسة براسو",Non_HS
حمار معبا ببنطلون,Non_HS
صباتو بيسوى نعيم حسن تبعك منيح تقل لاتقلك بعد تكرم ,Non_HS
لو عنده كرامة طمر حاله بالتراب مجرم ,Non_HS
سمعوا لهل الشوفة لا والله شوفوا لهل السمعة عاهرة تحاضر بالشرف ,Non_HS
عهد معجبة بأبو زميرة و اماني مغرمة بأبو مخطة بشار الاسد,Non_HS
في مثل بيقول كول جوز و هوا عالجوز   و ما أهوا من التاني إلّا خيو الأولاني   ♂ ,Non_HS
خليك على موقفك يا بوق لحد ما تنرمى بالزبالة ,Non_HS
يا زلمه ما خرب البلد غير امثالك ,Non_HS
اكيد اكبر بكتير قدام العاهرات ,Non_HS
كول نديم قطيش لانو هوا متلك,Non_HS
لو خبرتي غير خبريه عن سعد كانت الناس صدقتك بس انو يكون سعد الحريري حرامي روحي يا هبلا ,Non_HS
"كمان خطر عبالي سؤال لحضرتك، وين صارت صرمايتك ؟ قصدي المحكمة الدولية ",Non_HS
ليك أنت بعدك مصدّق الكذبة؟؟ لك أنت زلمي بيّاع وشرّى وفينا نقول خرّا كمان خلص سد نيعك وخراس ايري بموديلك… ,Non_HS
ما نايكن الا جبران باسيل عن جديد منا وجر,Non_HS
هيدا السيد يلي عم تحكي عنو غبرة صرمايتو بتشرف الأندال يلي مثلكم ,Non_HS
خراس و ما تشوش ✋ ,Non_HS
مهم انت تقول مين نسمي أهم شي و وين بحب قلك وجودك متل قلتك احترم حالك كرمال ما تضحك عليك الشعب ,Non_HS
كل ردودكم المتفلسفة عن غباء كامل ان دلت تدل على كذبكم ونفاقكم وغبائكم وجبنكم وهزالة مواقفكم وضعف بصيرتك… ,Non_HS
تضرب بهالمنظر ,Non_HS
انت اخرتك دربكات ,Non_HS
عرفتك انت الجرثومةيلي قد ما نكب عليها ديتول لا يقضي عليها  تضحك بلا سنان ,Non_HS
يلعن روحو بهالبرد,Non_HS
خاءن و ستبقى خاءن ,Non_HS
كنا معودين عليك بتحكي جالس بس تفسيرك لجواب جبران باسيل عن السكوت بيدل على سذاجة وهبل منا وجر,Non_HS
كول هوا وسد بوزك معلمك لجاسوس لمجرم بدو شد شعر لشايب,Non_HS
والله ما قاريك ولا سامع فيك ولا مغبر على صرمايتو زحط ,Non_HS
سد حلقك و خراس    ,Non_HS
كول هوا يلعن الي نفضك خاين كلب,Non_HS
محوا تغريداتكم يا جهلة,Non_HS
كول هوا لو سمحت يعني مشان ما اجي واتبول عليك ظ,Non_HS
الظاهر الجزيره بطلت تعطيك مصاري تتنبح كالعاده ,Non_HS
"عاد فهم هيك جحش انه لا انا ضد اسرائيل وكل شي بتعمله بس لما نظامك المجرم رح يدبح ناس لانه انقذوا ضحاياه ووثقوا جرايمه فليكن انقاذهم على يد الجن الأزرق، طبعا عبث لان هيك بغل بشري بيدعم بشار الاسد",Non_HS
شو النوع يلي ضاربو ههههههههههه ,Non_HS
خراس يا كديش  ,Non_HS
بغل بني عثمان بيعتقل صحافيين متل بوتين وأوربان وعلى باله يخلص من الديمقراطية متل هتلر وأوربان وخطابه شعبوي ملان جعط متل اليمينيين والشعبويين بأوروبا يلي ليل نهار عم نلطم عليهن,Non_HS
مين اللي جزمه يا ابن الجزمه يا رخيص يا مهزء ,Non_HS
اخدت الحبة تبعت الهستيريا ؟خدا عجل لعمى شو هبيلة ,Non_HS
فشرت بل جن بلاط لي لازم يكون ,Non_HS
شو ضعيف وشو مقهور ومش قادر تعمل شيطز فيكم كلكن كلكن بتصبوا بخانة الكذب والنفاق بتدعسوا عا الناس لمصالحهم وفسادكم ,Non_HS
العمى شو كل سنتين ليقبضوك لحتى تغردي هلأ        ,Non_HS
الله ينتقم من الامريكي اللعين قدر الله ان يظرب مسئولي الامريكان بالحذاء ,Non_HS
جبران باسيل لديك الف متابع مش لأنهم بيحبوك بس ليشوفوا الجحشنة تبعك بالتغريد,Non_HS
الاجدب اهوه اسمه جبران باسيل الله يخلف على اللبنانيين ولبنانهم خير    ,Non_HS
طيب يا عاهة جرحى مو معناها من المعارضة ممكن يكونوا مدنيين كمان 😂 وانت لو ماكل شظية بتروح بتتعالج ولا بتضل قاعد لحتى يصفى دمك وتموت؟ 😂,Non_HS
الجرذ جبران باسيل يفتل عضلاته بوضعه لوحة في المنبر الرئيسي لاجتماع القمة كتب عليها وزير الخارجية مخالفا لما جرت علي…,Non_HS
مين انت بس؟؟؟ على كل حال هيدي قطر يلي ابو لفة تاعك حسن كذاب فلق سمانا بلوحات شكرا قطر أو نسيتوا يلي بيسمعك بيقول… ,Non_HS
مفطر يا كلب عم تتطاول عالدين وتجرح مشاعرنا هئهئهئ 😭,Non_HS
جبران باسيل أنت متعود على تأدية الأدوار القذرة؛ فلا غرابة,Non_HS
يا إمّعَة يا ربع رجال بيشرفك اللواء يا جاهل الجاهلية ,Non_HS
لعمى ما اكذب منك الا جريدة الأخبار خراس عند هاالصبح ,Non_HS
الله لا يعطيك العافية شو لسانك بيسبك تفكيرك سكوت يا زلمي ,Non_HS
الاناء ينضح بما فيه عثمان رجل دوله وانت قاتل محمد ابو ذياب ,Non_HS
"بدك تعود حالك إنّو ال مليار الدين العام رح يصيرو مليار ورح تضلّك تهتف يا مسطول بالروح بالدم منفديك يا زعيم ، والله ليوصل عواكم على قبرص من الفقر",Non_HS
ولااااااااااا طهر نيعك قبل ما تجيب اسم البيك يا صعلوك ,Non_HS
منافقين كذابين,Non_HS
يربطوك بمجرور فيو جرذان يا وئام وهاب العقاب لوهاب وهاب قاتل ابو دياب ,Non_HS
انت كون زلمي بالاول او رجال او شي نوع من جنس ادام وما تتخبا بحساب وهمي رجاع تعا بهور وقلل اخلاق ,Non_HS
كول هوا بترتاح,Non_HS
اول واحد لازم يدخل السجن هو انت ايها المفتن ,Non_HS
المشكلة انو دكتاتور حقو فرنك عديم الرؤية و الفهم وعاملي فيها خامس الخلفاء و مو شاطر غير بالهوبرة و الزعبرة و اللعي و رح يجيب اجل تركيا عاجلاً غير آجل و مع ذلك الشبيبة مغرمين فيه؛المصيبة انو الحج اردوغان هو نموذج ثلاثي الأبعاد للمقولة ا,Non_HS
انت خراس وخليك بمنشارك وهيدا اللي عم يحكي عالتويتر كمان يخرس,Non_HS
صحيح يا صفيق ,Non_HS
ما حدا مرتد ولعين غيرك يا واطي ,Non_HS
كذبك يا أيوب بدو علاج جبران باسيل,Non_HS
وقح,Non_HS
عدا عن جحاشة الأخ البلوشي ومعلوماته الخاطئة تماما عن الاشوريين والكلدان,Non_HS
لك يقطع عمرن اسم على مسمى,Non_HS
كول هوا وانصرف من هون,Non_HS
البغل الخالد,Non_HS
"مش بس مختل ، على ذمتى انه حشّاش كمان ، مع إحترامي للحشّاشين",Non_HS
"ويل لهم اذا اوقظ النائم ،لا يعرفون ما الذي ينتظرهم ، كل سباط من قياس و ما فوق   ",Non_HS
نبيه بري واحد كذاب لعوب ماسوني عّم يلعب فينا منذ ان سلمناه فكرتها انسان شريف بلنهاية طلع ماسوني عميل و…,Non_HS
كول هوا انت كمان و لا قوي تحكي عليي,Non_HS
ما ذال بتحب سورية بشار هل قد نقبر روح قعود هونيك وما تفرجينا صورت وجك ,Non_HS
يعني حمار وعارف أن الفلوس لسيدك حسن الزباله ,Non_HS
"كول هوا ياللبناني،،،، انفضحت الله يفضح كل الكلاب اللي مثلك",Non_HS
تضرب بالحزاء وتلعق حزاء الحريري فعلا خقير ,Non_HS
ما خصك ما دخلك افرنقع        ,Non_HS
"مهرج، كذاب، منافق، راقص فوق الجثث، مرتهن، عبد مملوك، لا ارادة لك ولا كلمة، حتى كل الصفات البشعة صارت تس… ",Non_HS
العمى الضربو حرامي حقو فرنك,Non_HS
قال الفصعون بدو يفطر بالقدس لك يا عمو خلينا نفطر ب حلب بالاول بعدين نتحاكى,Non_HS
مترجم فاشل و له ذنب ,Non_HS
