	NONLEV
اديني يارب الرضا الكافي عشان اعرف اكمل في سلام 	NONLEV
  مين دي  دي واحده مكملتش  كيلو و كل شويه تقولي انا وزني زاد و انا خلقي ضيق 	NONLEV
  ياليت وزارة التجارة تصادر كل المرايات اللي ماتعطيك شكلك وجسمك الحقيقي  كفاية نصب واحتيال وضحك على الذقون	NONLEV
الشروق النهارده هيكون فى ميامى الجو قمة الروعه جيلك يا احمدفهمى	NONLEV
البعض مو بس بينغزه	NONLEV
ايه الجون دا يا مكي 	NONLEV
ايه يا هبه ده احنا سكاشن وامتحانات وفاينال  وال  ورا بعض  	NONLEV
حاول تحب الموت علشان ده الوحيد الي من نصيبـگك 	NONLEV
انا عندي ملل واكتئاب كفاية وممكن أصدرهم كمان ومش ناقص الماتش ده يكمل عليا	NONLEV
ترم ممل وامتحانات امل  وماتش الزمالك كمان ممل  فينك يا ريال تفرفشنا شويه بدل الملل دا	NONLEV
  هو انت في حد ف حياتك  طب بذمتِك دة منظر حيااه ادخل فيها حد	NONLEV
- خلِيك مقتنِع إن مفيش حاجة مكتوبالَك هتروح منك  	NONLEV
ابو الاجنش مكى عايز يركبلو شبكه فى رجلو	NONLEV
ايه الجون دة ياسموحة بس  	NONLEV
امال لو شوفتيعا دلوقتي هتقولي اية 	NONLEV
انا بجد اكتشفت ان العلاقه اللي فيها لا مبالاه دي اكتر علاقه بتنجح  اللي هو مش لازم  	NONLEV
هو مين اللي اتفرش ده 	NONLEV
  لما يختارني انا من وسط الناس كلها  علشان اكون جنبه وقت وجعه وتعبه بحس انه ابني	NONLEV
اعتبروا بدر محمد بدر اخينا بتاع تمرد او بتاع نقابة الصحفيين الي تعاطفتوا معاه وعملتوا نفسكم صحفيين وحرية لا حدود لها لحد السماء	NONLEV
لأ منا عارفاها بس برضو متتقارنش بال متحوليش	NONLEV
  متلومش حد علي حاجة مشاكلك وحزنك خاصين بيك  انته السبب في كل اللي انته فيه 	NONLEV
اتمنى النهارده مكنش يبقى موجوود عشان وحش ورجعنا زهفنين 	NONLEV
ولا مؤمن سليمان كان كده  ولا مكي ده كان كده  سبحان الله لعنة ليوم الدين	NONLEV
  اقسم بالله من احلي حاجة قرأتها انهردا ️ 	NONLEV
فرصه ولازم نستغلها علشان يرجع محمد بدايهللمليونلاجلمحمد	NONLEV
صاحبي ال مش جدع خد نفسين وخلع	NONLEV
  ه عشان مش تفضل تقولي البانك والمطوتين والكلام ده  	NONLEV
الكئيب بزيادة  	NONLEV
بس عارف فيلم زى ده لازم يبقى المانى لانه بيتطلب كمية إلتزام مش هتلاقيها عند حد غير عندهم	NONLEV
ايه الزهق ده	NONLEV
والله اسلام جمال ده ملوش لزمه	NONLEV
  اللى عايزك مش بس هيعافر ده هيحفر في الصخر عشان يوصلك و يكون جنبك و سندك قروبلمىفلسفهعمر  خالدالسقيانيللدعم نظر	NONLEV
لما تعرف حد من قريب و تقول عليه دا بقي صاحبي اوي و يعمل حاجه تبينلك انك ولا حاجه عنده اعرف انك اللي غلطان علشان صدقته بسرعه 	NONLEV
منشن ده حق تغريدة كياته اما تسوموغي	NONLEV
  انا نفسي أبطل اتعشم في حد انا نفسي أبطل اتعشم في حد انا نفسي أبطل اتعشم في حد انا نفسي أبطل اتعشم في حد انا نفسي أبطل اتعش	NONLEV
كانتي خلاص محور كويس بس شت الله يرحم والديك	NONLEV
كمان 	NONLEV
ناس تفضل طول عمرها مخبية بلاويها عن غيرها	NONLEV
حد يخيط خرم جنش ياجماعه 	NONLEV
ده من فيكتوريا شخصيا	NONLEV
  مكنتش فتحته اصلا وكنت متاكده انه هيجي عشان مكنش فيه ولا كبمه مهم   وقد كان   الدكتور عملها مرتين وعلم ع 	NONLEV
-ايمان عامله ايه -انا بحب احمد و كويسه الحمدلله 	NONLEV
أنا مبزعلش من حد	NONLEV
معلش 	NONLEV
و لا دوبتك و لا سهرتك و لا بكيتك و لا حيرتك ده أنا من وسط الدنيا اخترتك بالعالم و ما فيه و أكتر من كده إيه  	NONLEV
إسلام جمال راح فين 	NONLEV
  بفرج خالتو صوره جوبسي مع باريش قالتلي ايه دا مش حلوه ماتزعليش هيا تلاقيها مايصه بس  حسستني انو سابني وخطبها عسسل 	NONLEV
ده كسم العك اللي في الزمالك	NONLEV
  أنت جاي تناقشني في رأي قولته من سنتين حضرتك أنا لما بروح البيت اجرب اللبس اللي عجبني واشتريته من ساعتين بقول أيه القرف	NONLEV
 أنا طلع عيني في ال ده و انت قاعد ع القهوة و مش عايز أبعتهولك عشان انت بتستغل م	NONLEV
  يخربيت ده مشروع والله	NONLEV
كانت بتزعق للست علشان القهوه و انا بمتحن لقيتني تلقائي بقولها اقوم اعملها لحضرتك انا طيب  	NONLEV
هو انا اه دايما بقول عليهم مختلين عقليا لما بشوف المناظر دي بس اكيد العته ده  لطيف ومخيف يلا بقى الله يسامحك يا بابا	NONLEV
انتي مسلمه  تعرفين القران والسنه والا لا اذا مسلمه مصيبه والله هذا حد من الله لازم يتطبق على اللي يقتل ف مابالك 	NONLEV
الصبح حار صيفا باليل سقعه شتويه	NONLEV
قصدك لما تشوفي الصور يا ميرنا حاجه صعبه اوي شفتي مادونا 	NONLEV
فعلا موت علشان ترتاح يلا يا تقي احنا طولنا اوي	NONLEV
  مفيش و مفيش  و حتي مفيش  	NONLEV
معتقدش فيه لحظة بتبقي اصعب لحظة عليا في موت اي حد قد خروج الميت وهو متكفن بحس اني ملحقتش اودعهم	NONLEV
انا اللي هموت واعرف جبت الارقام دي منين  ياريت ماتحرمناش من مصادرك 	NONLEV
  ف قلبي مكان مكنش بيوصله انسان لأنه أمان مكنش بيدي حد أمان فتحته انا ليك دخلته إنت وقفلته عليك	NONLEV
ايوه ويارتهم اتحرشو كمان	NONLEV
  هو ده اول صيف فحياتكو	NONLEV
وربنا الفوت ده ط ظلم  الناس كلها مبلكه موستا وموستا مبلكهم ومش عارفين يصوتولى 	NONLEV
احا انتي مش قولتي انك مش متجوزه 	NONLEV
فتاة تعبانة اوي تقلع ملابس وتمارس العادة السرية  تفريش مربربه لحس  	NONLEV
  لِـ شخص ميت اشتقت لملامح وجهك وابتسامتك واسمي المدلل بصوتك اشتقت لك حد الٱلم حد الوجع ابي 	NONLEV
  وانت ايه الهدف من حياتك -لاء مفيش هدف انا عايش 	NONLEV
  - أنتي مختفية فين  اكيد بتذاكري - لا مسمحلكش 	NONLEV
  حرام نروح في حادث طريق عشان توقيع اعطونا اجازتنا مع الطلاب ونفس الوقت تخفيف للزحمة والمصاريف والحوادث ارحمونا غربهواخطار	NONLEV
يخربيت الاحساس بالذنب ده	NONLEV
هما بيسمو الممبار عصبان والي هوا مفيش اققرف من كدا اسم كرهتوني فيه 	NONLEV
مش متخيله انه ممكن ميد بتاع بكرا كان هيروح عليا وانا قاعده نايمه متأنتخه ف السكن ومعرفش بردوا غير لما يضيع	NONLEV
  مواصفات كل شخص ع تويتر  طيب جدع ربنا يفرحك	NONLEV
انا مع يارا  ولما نشوف اخرتها في الكليه دي 	NONLEV
الكوبليه بتاع عبد السلام في اغنية عم يا صياد  هي احلي حاجة في الاغنية 	NONLEV
يعني اروح الجامعه اقع من طولي وكمان مصححش  لا ده انا اشتم واجيب ناس تشتم	NONLEV
  الاكتفاء بالذات ده نعمة ربنا يديمها علينا ديما  وميحوجناش لحد ف يوم من الأيام 	NONLEV
تعرف الفرق فين يا عبد الله ان كل كلمة انا قولتها اقدر اجيبلك عليها  اثبات و اجي 	NONLEV
مبحسش بالتميز خالص لما الاقي حد عاملي فولو انا و الف واحد غيري	NONLEV
  وكل الناس اللى مشيت مشيت علشان حاجات عملناها علشان ميمشوش 	NONLEV
مقسومة نصين  مفيش نص فيهم مريحني	NONLEV
تميموالاخوانتحتالبيادة هو مين تميم الشاذ ده ملهوش اي ستين لازمه اصغر ولاد في مصر يدي تميم باوسخ جزمة 	NONLEV
  ربنا بيبعتلك علامات واضحه جدا اوقات وانت بتصمم تكمل علشان غبى	NONLEV
مفيش اى امل ان الواحد يفتح كتاب بكرا 	NONLEV
  ولا اى كلمه معلش هتصبرنى يا هج والله في نار جوايه ممكن تولع في تويتر كلوا دلوقتى انا رايحه ادفن نفسي  	NONLEV
مش هو دا الصيف اللي مستنيه و عاوز تدفع نص عمرك علشان يجي اتفضل بقا ادفع عمرك كله و سيح فيه  اتفضل ياخويا  	NONLEV
حاجة تخليك عايز تضحك لما يتقالك انت مش متعود على هنا او هي الناس كدا او انت شكل القعدة لوحدك مش مخلياك عارف 	NONLEV
  عايزينزمالكمستقر  مش عايزين زملكاوي مش عالهاش ده 	NONLEV
  والله مبسوطه جدا بالكلام ده ربنا يخليك	NONLEV
  حطها فين يسكن الشيطان 	NONLEV
من مميزات انك تاكل ف المدينه الجامعيه انها بتعلمك لما تتعزم عند حد و يطلع الاكل وحش تاكل برده عشان ماتحرجش الناس لا و تاكل بشراهه كمان	NONLEV
  رتويت وهبعتلك اليوزر بتاعك لحد يقول انت بالنسبالوايه لو عايزين حد معين قولولي ف يلا 	NONLEV
  لما حد يقولى اقعد مع نفسك وفكر  	NONLEV
  ياعم اللي خلاهم يقولوا علي ايفونا الي مكملش نص موسم عندهم ابن النادي  فكك يسطي من الماليم 	NONLEV
  حرفيا مش طايق اتعامل مع حد في الحر ده	NONLEV
  بكرهك 	NONLEV
  شهادة اعتز وافخر بها ومن شخص بمكانته الجبارة بسطور التاريخ الذهبي 	NONLEV
كل الخونة متقدمين فى تويتر  ده تمامهم مفيش اكثر من كده  فاضيين وعمالين يندبوا على تويتر =	NONLEV
سامية محمد  بصي بقي انا مبدئيا اللغات الموجودة حاليا فالكون مش هتخلينى اعرف اكون جملة اوصفلك بيها فرحتى بيكى 	NONLEV
  لازم نعرف ان العشم الزياده مع اى حد اخرتُه وحشه	NONLEV
أخدت منى حسنات كتير كفايه كدا النهارده 	NONLEV
لا والنبي اسمحلك اوي  	NONLEV
  ده ابن وسخه ابن حسن البنا	NONLEV
  حافظ علي صاحبك اللي بيتكلم عن مشكلتك كأنها مشكلته هو	NONLEV
  لو حد ظلمك في يوم وكان السبب في تعبك متعملوش حاجة سيبه 	NONLEV
 انا حفظت شويه امبارح  بس مفيش حد بشجعني يالولي اعمل ايه زهقت	NONLEV
  ممكن مش النهارده ومش بكره ومش قريب حتي  بس أكيد ربنا هيجبر بخاطرك في الآخر ️️  أميـᗩᗰℜᗩـر	NONLEV
  احنا هنعمل كل حاجة تحسسك انك زيك زي اي حد في حياتنا بس هنيجي في اخر اليوم وهنقولك انك مش زي أي حد وانك أهم منهم كلهم	NONLEV
  هو انا دخلت الجروب ده ازاي والله 	NONLEV
هو مش لسه بدري على موسم التزاوج ده ولا ايه  ما تراعوا شعور الناس اللى بتمتحن و طالع عينها هنا يا جماعه 	NONLEV
  السعادة اللي تيجي من حاجة بتغضب ربنا ربنا اكيد مش هيبارك فيها	NONLEV
غالباً ده اكيد	NONLEV
  ليه مفيش قناة تعرض افلام احمد حلمي  ساعه	NONLEV
كويس انك فاكر انك عندك امتحان اهم حاجة 	NONLEV
  لازم نشد شويه ونقوم نذاكر - يلاه 	NONLEV
  يمكن ده مؤشر ان أيديها طويله  ووجب الاحتراس 	NONLEV
هو حوار منع المكالمات بتاع النت ده حقيقي ولا ايه عشان مش عارف افتح  عندي	NONLEV
عارف لو عملت كده هيطلع حد مش مع الرأين ويجيبلك رأي تالت	NONLEV
يارب يجي اليوم ده و نعمل حفله نلبس فيها كلنا الكرديجان  	NONLEV
  ماينفعش يأجلوا الامتحانات شويه ماليش مزاج اذاكر اليومين دول	NONLEV
  حلفاوى سمع ود الامين بقول  و الغريبة الساعة جنبك تبدو اقصر من دقيقة  الحلفاوي قال  فين الزول ده هلينا نصوم معاهو رمضا	NONLEV
  رغم توتنهام بتلعب كوره حلوه ولكن تحس ان بوتشيتينو مش مستغل اقصى قدرات لاعبيه الهجوميه وفكره ان كل اللاعيبه عايزه تعدي بالك	NONLEV
انا اعرف ده في بني سويف جامعة النهضة بس كان زمان معرفش دلوقتي	NONLEV
  شبيحةبلحة  زود كمان اسعار علينا	NONLEV
انزل دور عليها هتلاقيها	NONLEV
اصحي للكلام عشان احنا مبنمش 	NONLEV
  صح يا تقوشة وانا موافقكي الكلام ده اوي	NONLEV
اعرف ان لو بصيت نظرة شهوة او كلمة هتتردلك في أقرب حد من قلبك وشرفك وعرضك	NONLEV
 مفيش حد بيدور	NONLEV
عيب يا نكشو الله  ده احنا بينا رتس و لايكات 	NONLEV
جلّاد توتنهام  كمان مرة 	NONLEV
شبيحةبلحة احرقوا الموتي في رابعه ونهضه مصر	NONLEV
  مين يقدر يقبل التحدي ده معايا  ريتويت لو هتقبل 	NONLEV
كالدارا سجل اليوم و وصل للهدف السابع له في الكالتشيو و هو مدافع  - أكثر من بعض المهاجمين 	NONLEV
في كل مكان الحلو والوحش يا سيد عادي الا تركيا فيها الحلو بس   	NONLEV
مفيش احسن من الكـلمه الحلـوه في ضهرگ 	NONLEV
شبيحةبلحة بداية تورط الجيش كان في رابعه والنهضه وامتد للشوارع والقري الآمنه والان سيناء الي متي سيواصل الجيش بأوامر بلحه ابادتنا	NONLEV
  دة حمادة طلبة بتاع برشلونة  	NONLEV
اللى عايزك هيقرب منك	NONLEV
انا احتفظت بالصورة لأن بحب ماري اوي	NONLEV
والله كنت لسة بتفرج ع الفيلم وبقول أد ايه عاطف دة جميل ومش شايل هموم دة كفاية الابتسامة  	NONLEV
  اللى سرب الفيديو لمكملين واحد من اللى حضروا الاعدام و هو اللى قال لمكملين على ان المتحدث العسكرى نشر صورهم و قالهم على تاريخ	NONLEV
  بستنى حلقة كل اسبوع علشان اشوف فستان نجوى كرم  ايه الحلاوة و الطعامة و الرقة دى   	NONLEV
أنتى اجمل من انك تتجرحى او ان حد يأخد مكانك انتى اجمل بالتفاصيل اللى فيكي الى مش مخلياكى تكونى زي اي واحدة 	NONLEV
انهي عقلية اللي بتحط القواعد بنت الو دي  هي ناقصة مصاريف يا ولاد ال 	NONLEV
انا مش عارفه هي الناس تعاملنا كويس وقت مايكون مزاجها حلو وتعاملنا وحش لما يكون مزاجها وحش انتو ايه 	NONLEV
لقب بطل الشتاء كفاية 	NONLEV
ولو مبتحبوش سايبة عندك ليه اصلا 	NONLEV
 انا شايف ان احمد الشيخ لاعب كويس وهيفيد المنتخب الفترة الجاية بس هو ياخد فرصته بس اللي خايف منه انه يروح الاهلي يصاحب الدكة	NONLEV
  اح على جمالها المتناكة  ونضافة ابطها - المشعر هو ده الابط المشعر اللي ماتشبعش من لعقه وشم ريحية عرقة اح 	NONLEV
لو حلفتلك أنى حاسس بيك مش هتصدق حاول تطلع كل ده فى الهزار م عندك اصلا و اكتب اللى يعجبك احنا نفسنا ا 	NONLEV
  حدّ يقولي الحبّ ده فينو​​ مين اللي موقّع بيني وبينو قلبي الوحدة مطلّعة عينو ​​همّا قالولي الحبّ جميل ومعاك حاسةبيك	NONLEV
احنا لازم نهرب مفيش حل تانى ‍️	NONLEV
  بص انا ماليش دعوة  	NONLEV
عقبالك بكره ان شاء الله و شكرا النهارده	NONLEV
  تميموالاخوانتحتالبياده  مش ابن موزه والخرفان بس لاء اي حد يغلط في مصر وجيشها ورائيسها تحت جزمتنا اي حد شايف نفسه بنقولو	NONLEV
  يوم حد يسألني عن اسم الاغنيه 	NONLEV
م  انا اتكهرب كمان  مع انك انت الي بتقولي كلام غريب 	NONLEV
أكبر درس اتعلمته الفتره دي هو اني مثقش في حد ابدا غير بابا و ماما غير كده نوو بس للاسف كان متأخر	NONLEV
  محدش فاهم حاجه خالص 	NONLEV
  العمل بجد على شيء نحبه يسمى شغف  واللهنستاهل 	NONLEV
  طب تعرف انا عمري م بعرف ابعد عن حد بحبه لكن هو بيعرف عادي و لذلك  انا من فتره بموت بالهادي 	NONLEV
اومال لو جربتي سمش الدلتاياختايانا نسيت بشرتي كان لونها ايه اصلا 	NONLEV
مشربش عندك برتقان وحيد ابنى 	NONLEV
وانا اللي عايزه افرحك انا غلطانه امشياطلعيبرا	NONLEV
  منهم لله اللي بيلعبوا في دماغ البنات وبيفهموهم ان الجواز ده ساحة حرب بين اتنين لازم تطلع فيها منتصرة	NONLEV
كلها علشان عبادي الجوهر 	NONLEV
  ركعتين 	NONLEV
  طب انا كنت بتحجج انى مش بذاكر عشان مجبتش ورق دلوقتى جبت الورق وكتير كمان ماشاء الله اتحجج بايه عشان مذاكرش	NONLEV
بصي كفاية المعمل الجو رائع فيه حر صهد نار ايه رائع	NONLEV
  هي فعلا محتاجه تركيا  	NONLEV
ده انا ده ولا ايه 	NONLEV
  مش قادره اقتنع بغير كده  بس للاسف الواقع ان التيرم لسه مخلصش  	NONLEV
  كل ده والصيف لسه ماجاش	NONLEV
مفيش احلى من العصير الفريش البارد فى الصيف  جربى الكوكتيل اللذيذ بطريقة الشيف هالهطارق اكتب متابع ليصلك منشورات 	NONLEV
أسوء رحيل هو رحيل الفلوس 	NONLEV
اصل الدورعلى الاردن اذالم تسمع الكلام  هنخلص على سورياوالدور على الاردن  نزحها كده شويه ناحيته السع 	NONLEV
هو اليجا مش ماشية مع اسلوب لعبه خالص  يعنى كان فى توتنهام افجر فمراحل فممكن يكون كلامك صح بس ده كده مع كله انشيلوتى و زيدان	NONLEV
انا عايز اعمل مبادرة مع الشعب الجزائري	NONLEV
  اه لدرجة من كتر فرحتي دماغي بتقف 	NONLEV
  حبيتيه بالصيف إزاي بس يا فيروز ده أنا مش طايقة نفسي	NONLEV
لا عيش انت  متعملش حسابي في الموضوع ده خالص 	NONLEV
  اسألالرئيس  انت موجود فين ف كل اللي بيحصل ف مصر  لو انت مش قادر تحكم مصر وتحميها يبقي ارحل احسن من وجودك كخراب لمصر	NONLEV
ده انتي والله الواحد بيكون مش طايق الجامعه لحد ما يشوفك 	NONLEV
  شبيحةبلحة فين الامن والامان	NONLEV
  والله وانا كمان نفسي 	NONLEV
قولت كدا بردو اصلي مخدتهاش ف الكلاس   	NONLEV
  مستقبلي بيروح بسبب الموضوع ده اقسم بالله  	NONLEV
  الواحد لما يحاول يلم مذاكرة اي حاجة ليلة الإمتحان بيبقى شبه الكلب الي بيلف حوالين نفسه علشان يمسك ديله	NONLEV
 ايوه هى المبكبكه الله يخربيتها معرفش بنهار قدامها ليه 	NONLEV
اوعى تنسوا الشبيح الأكبر بلحة وعصابتة الشبيحة اللى أمر بجميع المجازر فى مصر اوعى تنسوا المجازر دى علشان القصاص منه 	NONLEV
نزلت اشترى كيمى كون الجو فظيع الهوا كان فظيع بجد لطشت هوا كده ناخد بيها طاقه ايجابيه فنام بقى ه	NONLEV
  ايوة كدا يا ماريو الواد عايز يتغذي بردو	NONLEV
  وجمالها مفيش كدة بجد 	NONLEV
  كمان الحِلوات بقو بتكلمو في الدين 	NONLEV
طب بص خليك كده و انا  يلا امشي بقا	NONLEV
  جماهير توتنهام غادروا ويمبلي قبل نهاية المباراة  على بيتك و ارجع ده كونتي بيوجع 	NONLEV
الواد بتاع فريق الحمامات التونسي رقم  ده ابن وسخ جايب لواحده  اجوال من 	NONLEV
وبستغرب جدا الفيديوهات اللي بشوفها هنا ليهم خاصة الفيديو الاخير بتاع مصطفى حسني عن اللبس بصراحة مستغربة ازاي الناس دي طالعة ع التليفزيون	NONLEV
  حضرتك ده ناقصلهم بحثين كمان و يعلنوا الحرب 	NONLEV
ركزوا معايا هقفل الاكونت ده بعد كام يوم عشان فيه مشاكل 	NONLEV
مَش عايزه مدير اعمال ي اخي  قليل شويه نخليهم	NONLEV
هسيب اي اعلان لكم او اي حد ليه رغبة في شراء أدوات كهربائية الاونصحته بناءاعن تجربة شخصية فأنتم لا تح 	NONLEV
شكلوا متخلف دا كمان اصل هيا نقصاه	NONLEV
وهو بيربط طرحة فى ديل الحصان بتاع شعره 	NONLEV
وعلى فكرة البنت دى مصاحبة اصلا ومش من عندى الكلام ده  ده كلام صحابها لما لقوا الحوار معموله  وكان هيحصلها مشاكل	NONLEV
ه فهمت شويه وبعدين ضعت الترجمه بسرعه	NONLEV
  ريتويت وهمنشنك مع حد لايق عليك 	NONLEV
ايوه بس برضه باحبه	NONLEV
  شبيحةبلحة  كفاية حرام عليكوا انتوا اكيد حيوانات مش بشر	NONLEV
  كفاية اني اكون مرتاحة وسط ناس بتحبني مش لازم اكون عرفتهم من زمان ممكن من سنة أو اتنين بس وجودهم في حياتي فارق كتير عن	NONLEV
  مهما كانت درجة الفريندزون اللي محشور فيها مش هتكون أسوأ من اللي بيحصل مع محمود ده 	NONLEV
امتا كل دا ينتهي لأول مره بقولها  يا رب انا مبقيتش قادر بجد جبت اخري خلاص	NONLEV
  - يا تري بقي بعد الجو الخرا ده و التلزيق لسه بتحبوا الصيف ولا الشتا  - طبعا بنحب الصيف اكتر - يارب تموتوا  يارب 	NONLEV
 لما تلاقي نفسك هتخرج عن شعورك التزم الصمت أو اعتزل الناس لأن مفيش حد مجبر إنه يتحمل دبشك و عصبيتك اللي إنت	NONLEV
ماجوزها هو كمان غبي حد ياخد مراته معاه سفريه زي دي  	NONLEV
يابت صدقيني هتشوفيه وتنصدمي هتحسيه مش اميره شويه يعني مش شكلا طبعا قصدي شخصيه  هتحسيه امير كدا و مالي الشاشه ه	NONLEV
  بعد ما شفت الفيديو بتاع قتل الابرياء امبارح علي إيد الجيش كدا انا اتاكدت ان لو حد فكر يطلع علي السيسي هنشوف نسخه تانيه من	NONLEV
   بردو ياحماده والايام جايه وهتشوف 	NONLEV
يعرفوا بس انك عاوزه تسيبي البيت وهو يتصرف با احنا بنسعي للخير بس 	NONLEV
  عايز تخسر حد  اتكلم معاه كل يوم و خاف عليه حبه اكتر من نفسك  اهتم بيه اكتر من اي حاجه ف الدنيا هتلاقيه سابك ع طول  قلل	NONLEV
  مُش مسامحه أيّ حد كان سبب فِ تشويه جُزء من نفسيتي	NONLEV
  تقريبا ده وباء ماشى ف الجو  	NONLEV
ومعرفش اذاكر و الجو برد بردو  	NONLEV
  و بيستهبلو و  أوبن مايندد وكل الاندر ايدج ارتبطوا و  فجوة زمنية مجهوله لا تمت للارتباط والمرقعه والكلام الف 	NONLEV
وانا روحت فين	NONLEV
 سعر كويس اللي رحت له انا ب 	NONLEV
  لما تيجي تفتح كلام مع حد بتحبه 	NONLEV
-يسطى انت بتصيف فين السنادى - - 	NONLEV
كفايه نفاق وتطبيل الريس مش محتاج حد يتكلم عنه وانت بتتكلم بإسم مين عندك حق لو باخد مرتبك اعمل رقصة العازب وعجين الفلاحه	NONLEV
دورا يا بنت المحظوظه من اجمل صور اليوم ده بكل زواياها 	NONLEV
الجو دلوقتي بقعدتي ف البلكونة واغنيتي المفضلة ناقصها ريحة البحر بس والله 	NONLEV
فين يا رنوش الكليب انزلى بيه بقى	NONLEV
حد الله بيني وبين الحرام 	NONLEV
  شبيحةبلحة وامنع كمان صلاة نبينا	NONLEV
  كل ما أسمع أغنية  فوق النخل فوق  أسأل نفسي هذا يحب آدمية أو حمامة  المهم اكتشفت انها فوق إلنا خل يعني يحب حد بالدور	NONLEV
  تعوانفرحونغني نروح نرقص ع صوت الموج	NONLEV
 زى النهارده من سنين كانت بس البدايه واحنا معاكى مكملين لحد النهايهه 	NONLEV
   العايز حد معين يجي   	NONLEV
اسود عيشتكوا و لا كفاية التويتين دول 	NONLEV
عيشي عيشة أهلك  ماشي ي أهلي	NONLEV
  الناس اللى بتقرب لحد عشان تغيظ حد تانى دى اوسخ ناس ممكن تقابلها فى حياتك	NONLEV
  شبيحةبلحة السيسي قتل اخواتنا فى رابعه والنهضه وبيسرق قوت الناس ويضحك عليهم بحجة الارهاب	NONLEV
  هنسقط واضحه اوي يعني 	NONLEV
الأسماء دي بمجهودي معلش  مش هغششك لأ	NONLEV
  اظن بقى كده مفيش اى كلام والمفروض نرفع قضيه ومعاناالدليل ومعاناالشهودناقص ايه بقى والمتحدث العسكرى نزل صورالقتلى وك 	NONLEV
ه مش اوي كده	NONLEV
حتي ولو تشلسي كان سئ  كفاية جون 	NONLEV
خلاص هجيب مش مشكله 	NONLEV
  -لما أرجع من برا ف الجو ده  	NONLEV
  اهو الكلب ده عنده وفاء وإخلاص أكتر من ناس كتير موجوده فے حياتنا 	NONLEV
انت رايح فين انا ماصدقت لقيتك  	NONLEV
مفيش اختلاف بين ماتش دجلة والمقاصة وبين توتنهام والبلوز خالص	NONLEV
  يارب مخترع التكييف يدخل الجنه زي ماهو مقعدنا دلوقتي في الجنه والشارع في النار 	NONLEV
  لسه كنت بقول كده حالا مريضه بجد 	NONLEV
  أوحش حاجه فے الدنيا الشك بيوحش كل حاجة حلوه وبيزود المشاكل مدام في حب بجد بينا وثقه يبقي مفيش داعي للشك	NONLEV
